utc,cluster_size,btc_ret15,symbols
2026-04-26T06:15:00+00:00,1,-0.00046,KRW-AVNT
2026-04-26T07:15:00+00:00,1,-0.00035,KRW-ZBT
2026-04-26T07:30:00+00:00,1,-0.00046,KRW-INJ
2026-04-26T08:30:00+00:00,1,9e-05,KRW-LAYER
2026-04-26T09:15:00+00:00,2,-0.00034,KRW-JTO|KRW-SAHARA
2026-04-26T10:15:00+00:00,2,9e-05,KRW-AVNT|KRW-ENSO
2026-04-26T11:15:00+00:00,1,0.00084,KRW-MIRA
2026-04-26T12:00:00+00:00,1,-0.00055,KRW-JUP
2026-04-26T13:45:00+00:00,1,0.00029,KRW-ENS
2026-04-26T14:45:00+00:00,1,0.00072,KRW-ZBT
2026-04-26T18:00:00+00:00,1,0.00062,KRW-AVNT
2026-04-26T19:00:00+00:00,1,0.00044,KRW-ZBT
2026-04-26T19:15:00+00:00,2,-0.00221,KRW-ATOM|KRW-OPEN
2026-04-27T00:00:00+00:00,3,3e-05,KRW-AVNT|KRW-ZBT|KRW-ZKP
2026-04-27T00:15:00+00:00,5,-0.00139,KRW-0G|KRW-ATH|KRW-MANTRA|KRW-MIRA|KRW-SAHARA
2026-04-27T01:15:00+00:00,1,-0.00273,KRW-HYPER
2026-04-27T02:00:00+00:00,1,-0.00061,KRW-PENGU
2026-04-27T03:30:00+00:00,1,-0.00074,KRW-INJ
2026-04-27T03:45:00+00:00,1,-0.00087,KRW-PUMP
